img,x1,y1,x2,y2,id,width,height
00512.ppm,1139,490,1179,530,1,1360,800
00513.ppm,142,501,197,556,1,1360,800
00514.ppm,381,511,418,548,1,1360,800
00514.ppm,1168,491,1206,530,1,1360,800
00515.ppm,257,361,333,435,1,1360,800
00517.ppm,271,422,345,496,1,1360,800
00518.ppm,451,526,499,574,1,1360,800
00519.ppm,454,531,507,584,1,1360,800
00520.ppm,380,507,436,565,1,1360,800
00521.ppm,377,574,405,604,1,1360,800
00521.ppm,946,565,976,595,1,1360,800
00523.ppm,1285,512,1330,555,1,1360,800
00523.ppm,455,515,502,562,1,1360,800
00524.ppm,187,530,241,584,1,1360,800
00524.ppm,1219,528,1271,580,1,1360,800
00527.ppm,874,426,904,456,1,1360,800
00527.ppm,359,420,389,450,1,1360,800
00528.ppm,985,339,1026,380,1,1360,800
00528.ppm,166,415,205,455,1,1360,800
00530.ppm,425,401,460,435,1,1360,800
00530.ppm,1010,401,1043,434,1,1360,800
00531.ppm,484,443,504,463,1,1360,800
00531.ppm,909,431,931,453,1,1360,800
00536.ppm,27,428,57,458,1,1360,800
00536.ppm,327,452,353,478,1,1360,800
00544.ppm,1054,297,1122,358,1,1360,800
00544.ppm,990,425,1028,459,1,1360,800
00544.ppm,744,438,762,458,1,1360,800
00545.ppm,213,435,247,474,1,1360,800
00548.ppm,775,432,811,468,1,1360,800
00551.ppm,937,465,966,493,1,1360,800
00552.ppm,537,512,554,529,1,1360,800
00552.ppm,538,528,554,544,1,1360,800
00552.ppm,814,508,832,526,1,1360,800
00552.ppm,815,525,831,541,1,1360,800
00554.ppm,947,472,984,507,1,1360,800
00557.ppm,273,462,317,502,1,1360,800
00557.ppm,458,461,506,508,1,1360,800
00560.ppm,1039,173,1099,233,1,1360,800
00564.ppm,755,368,799,408,1,1360,800
00566.ppm,655,395,689,429,1,1360,800
00566.ppm,124,419,156,451,1,1360,800
00567.ppm,1050,409,1109,460,1,1360,800
00570.ppm,881,416,914,449,1,1360,800
00571.ppm,1287,361,1308,384,1,1360,800
00599.ppm,700,454,722,476,1,1360,800
